#submitted_item	validated_id	current_symbol
FBgn0000092	FBgn0000092	dyw
FBgn0000259	FBgn0000259	CkIIβ
FBgn0000273	FBgn0000273	Pka-C1
FBgn0000459	FBgn0000459	disco
FBgn0000479	FBgn0000479	Pde4
FBgn0000527	FBgn0000527	e
FBgn0000546	FBgn0000546	EcR
FBgn0000635	FBgn0000635	Fas2
FBgn0001134	FBgn0001134	Grd
FBgn0001233	FBgn0001233	Hsp83
FBgn0001297	FBgn0001297	kay
FBgn0001624	FBgn0001624	dlg1
FBgn0002413	FBgn0002413	dco
FBgn0002917	FBgn0002917	na
FBgn0003068	FBgn0003068	per
FBgn0003301	FBgn0003301	Adcy1
FBgn0003310	FBgn0003310	S
FBgn0003371	FBgn0003371	sgg
FBgn0003380	FBgn0003380	Sh
FBgn0003429	FBgn0003429	slo
FBgn0003460	FBgn0003460	so
FBgn0003997	FBgn0003997	hid
FBgn0004168	FBgn0004168	5-HT1A
FBgn0004244	FBgn0004244	Rdl
FBgn0004611	FBgn0004611	Plc21C
FBgn0004618	FBgn0004618	gl
FBgn0004635	FBgn0004635	rho
FBgn0004864	FBgn0004864	hop
FBgn0004956	FBgn0004956	upd1
FBgn0005395	FBgn0005395	psi2
FBgn0005536	FBgn0005536	Mbs
FBgn0005631	FBgn0005631	robo1
FBgn0005636	FBgn0005636	nvy
FBgn0010333	FBgn0010333	Rac1
FBgn0010379	FBgn0010379	Akt
FBgn0011204	FBgn0011204	cue
FBgn0011205	FBgn0011205	fbl
FBgn0011604	FBgn0011604	Iswi
FBgn0011640	FBgn0011640	lark
FBgn0011656	FBgn0011656	Mef2
FBgn0012344	FBgn0012344	Dh44
FBgn0013303	FBgn0013303	Nca
FBgn0014019	FBgn0014019	Rh5
FBgn0014020	FBgn0014020	Rho1
FBgn0014269	FBgn0014269	prod
FBgn0014395	FBgn0014395	tilB
FBgn0014396	FBgn0014396	tim
FBgn0015269	FBgn0015269	Nf1
FBgn0015379	FBgn0015379	dod
FBgn0015544	FBgn0015544	spag
FBgn0016054	FBgn0016054	phr6-4
FBgn0016076	FBgn0016076	vri
FBgn0016122	FBgn0016122	Acer
FBgn0016694	FBgn0016694	Pdp1
FBgn0017561	FBgn0017561	Ork1
FBgn0019940	FBgn0019940	Rh6
FBgn0020445	FBgn0020445	E23
FBgn0022382	FBgn0022382	Pka-R2
FBgn0023076	FBgn0023076	Clk
FBgn0023094	FBgn0023094	cyc
FBgn0023178	FBgn0023178	Pdf
FBgn0023407	FBgn0023407	B4
FBgn0023416	FBgn0023416	Ac3
FBgn0024150	FBgn0024150	Ac78C
FBgn0024846	FBgn0024846	p38b
FBgn0024944	FBgn0024944	Oamb
FBgn0025394	FBgn0025394	inc
FBgn0025680	FBgn0025680	cry
FBgn0025777	FBgn0025777	homer
FBgn0026083	FBgn0026083	tyf
FBgn0026086	FBgn0026086	Adar
FBgn0026401	FBgn0026401	Nipped-B
FBgn0027109	FBgn0027109	NPF
FBgn0027348	FBgn0027348	bgm
FBgn0027586	FBgn0027586	Jhbp14
FBgn0027932	FBgn0027932	Akap200
FBgn0028622	FBgn0028622	qsm
FBgn0028734	FBgn0028734	Fmr1
FBgn0029823	FBgn0029823	Shmt
FBgn0029891	FBgn0029891	Pink1
FBgn0030228	FBgn0030228	BTBD9
FBgn0030555	FBgn0030555	Fbxl4
FBgn0030913	FBgn0030913	kairos
FBgn0031414	FBgn0031414	eys
FBgn0031634	FBgn0031634	Ir25a
FBgn0031652	FBgn0031652	jet
FBgn0031759	FBgn0031759	Kdm5
FBgn0032048	FBgn0032048	Dh31
FBgn0032494	FBgn0032494	Jhbp13
FBgn0032495	FBgn0032495	CG16820
FBgn0032840	FBgn0032840	sNPF
FBgn0033233	FBgn0033233	Kdm4A
FBgn0033257	FBgn0033257	sand
FBgn0033528	FBgn0033528	trsn
FBgn0033558	FBgn0033558	alka
FBgn0034012	FBgn0034012	Hr51
FBgn0034136	FBgn0034136	DAT
FBgn0034911	FBgn0034911	GlyT
FBgn0035023	FBgn0035023	ITP
FBgn0035166	FBgn0035166	JMJD5
FBgn0035187	FBgn0035187	Trhn
FBgn0035802	FBgn0035802	Pura
FBgn0035934	FBgn0035934	TrpA1
FBgn0036046	FBgn0036046	Ilp2
FBgn0036260	FBgn0036260	Rh7
FBgn0036340	FBgn0036340	Srrm1
FBgn0036366	FBgn0036366	JMJD7
FBgn0036727	FBgn0036727	SecCl
FBgn0036927	FBgn0036927	Gabat
FBgn0037174	FBgn0037174	Jhbp6
FBgn0037288	FBgn0037288	Jhbp3
FBgn0037290	FBgn0037290	Jhbp1
FBgn0037659	FBgn0037659	Kdm2
FBgn0037703	FBgn0037703	Kdm3
FBgn0038118	FBgn0038118	timeout
FBgn0038197	FBgn0038197	foxo
FBgn0038394	FBgn0038394	Jhbp4
FBgn0038395	FBgn0038395	Jhbp5
FBgn0038582	FBgn0038582	CG7988
FBgn0038693	FBgn0038693	unc79
FBgn0038849	FBgn0038849	CG7079
FBgn0038850	FBgn0038850	Jhbp15
FBgn0038857	FBgn0038857	Bdbt
FBgn0038870	FBgn0038870	Oga
FBgn0038894	FBgn0038894	Jhbp16
FBgn0038948	FBgn0038948	JMJD6
FBgn0039203	FBgn0039203	Jhbp12
FBgn0039225	FBgn0039225	Ets96B
FBgn0039297	FBgn0039297	Jhbp7
FBgn0039298	FBgn0039298	to
FBgn0039299	FBgn0039299	CG11854
FBgn0039482	FBgn0039482	CG14258
FBgn0039483	FBgn0039483	CG14259
FBgn0039485	FBgn0039485	Jhbp11
FBgn0039536	FBgn0039536	unc80
FBgn0039696	FBgn0039696	Rnb
FBgn0040071	FBgn0040071	tara
FBgn0040382	FBgn0040382	CG5273
FBgn0041100	FBgn0041100	park
FBgn0041188	FBgn0041188	Atx2
FBgn0041723	FBgn0041723	rho-5
FBgn0043903	FBgn0043903	dome
FBgn0044050	FBgn0044050	Ilp3
FBgn0050446	FBgn0050446	Tdc2
FBgn0051189	FBgn0051189	CG31189
FBgn0051207	FBgn0051207	CG31207
FBgn0051324	FBgn0051324	Cipc
FBgn0051992	FBgn0051992	gw
FBgn0053182	FBgn0053182	Kdm4B
FBgn0053527	FBgn0053527	SIFa
FBgn0053680	FBgn0053680	Jhbp10
FBgn0053988	FBgn0053988	Mid1
FBgn0060293	FBgn0060293	smet
FBgn0061469	FBgn0061469	Ube3a
FBgn0085345	FBgn0085345	CG34316
FBgn0250839	FBgn0250839	Jhbp2
FBgn0259168	FBgn0259168	mnb
FBgn0259938	FBgn0259938	cwo
FBgn0260499	FBgn0260499	qvr
FBgn0260753	FBgn0260753	Pdfr
FBgn0260794	FBgn0260794	ctrip
FBgn0261268	FBgn0261268	Cul3
FBgn0261403	FBgn0261403	sxc
FBgn0261617	FBgn0261617	nej
FBgn0261710	FBgn0261710	nocte
FBgn0261808	FBgn0261808	cu
FBgn0261953	FBgn0261953	TfAP-2
FBgn0262103	FBgn0262103	Sik3
FBgn0262177	FBgn0262177	mir-375
FBgn0262371	FBgn0262371	mir-263b
FBgn0262381	FBgn0262381	mir-276b
FBgn0262404	FBgn0262404	mir-996
FBgn0262406	FBgn0262406	mir-let7
FBgn0262411	FBgn0262411	mir-92a
FBgn0262433	FBgn0262433	mir-210
FBgn0262448	FBgn0262448	mir-279
FBgn0262451	FBgn0262451	mir-ban
FBgn0262593	FBgn0262593	Shab
FBgn0262738	FBgn0262738	norpA
FBgn0262866	FBgn0262866	S6kII
FBgn0263025	FBgn0263025	HSPBAP1
FBgn0263116	FBgn0263116	5-HT1B
FBgn0263220	FBgn0263220	Hk
FBgn0263397	FBgn0263397	Ih
FBgn0263490	FBgn0263490	mld
FBgn0264006	FBgn0264006	dysc
FBgn0264492	FBgn0264492	CkIIα
FBgn0265042	FBgn0265042	Irk1
FBgn0265598	FBgn0265598	Bx
FBgn0265784	FBgn0265784	CrebB
FBgn0266076	FBgn0266076	mir-276a
FBgn0266137	FBgn0266137	Dop1R2
FBgn0266418	FBgn0266418	wake
FBgn0266568	FBgn0266568	lncRNA:yar
FBgn0266570	FBgn0266570	NO66
FBgn0283468	FBgn0283468	slmb
FBgn0283499	FBgn0283499	InR
FBgn0286723	FBgn0286723	hll
FBgn0287831	FBgn0287831	speck
