"","gene_name","comparison"
"1","lncRNA:CR44775","Or47bmut_GH"
"2","lncRNA:CR44043","Or47bmut_GH"
"3","ine","Or67dmut_GH"
"4","CG46301","Or67dmut_GH"
"5","Prosbeta5R2","Or67dmut_GH"
"6","IntS3","Or67dmut_GH"
"7","Spn43Aa","Or67dmut_GH"
"8","U3-55K","Or67dmut_GH"
"9","mthl8","Or67dmut_GH"
"10","CG42709","Or67dmut_GH"
"11","Rab26","Or67dmut_GH"
"12","CG43980","Or67dmut_GH"
"13","Mes2","Or67dmut_GH"
"14","Snap25","Or67dmut_GH"
"15","lncRNA:CR45220","Or67dmut_GH"
"16","CG9297","Or67dmut_GH"
"17","PK1-R","Or67dmut_GH"
"18","CG11453","Or67dmut_GH"
"19","CG3348","Or67dmut_GH"
"20","CG31051","Or67dmut_GH"
"21","CG9737","Or67dmut_GH"
"22","lncRNA:CR45570","Or67dmut_GH"
"23","asRNA:CR45189","Or67dmut_GH"
"24","ci","Or67dmut_GH"
"25","Arl4","Or67dmut_GH"
"26","CaMKI","Or67dmut_GH"
"27","CaMKII","Or67dmut_GH"
"28","CG32795","Or67dmut_GH"
"29","AdamTS-B","Or67dmut_GH"
"30","CG31898","dsxmut_GH"
"31","pdm2","dsxmut_GH"
"32","lncRNA:CR44043","dsxmut_GH"
"33","stw","dsxmut_GH"
"34","sand","dsxmut_GH"
"35","bol","dsxmut_GH"
"36","bru3","dsxmut_GH"
"37",NA,"dsxmut_GH"
"38","scaRNA:MeU2-C41","dsxmut_GH"
"39","asRNA:CR45600","dsxmut_GH"
"40","lncRNA:CR45570","dsxmut_GH"
"41","PH4alphaMP","dsxmut_GH"
"42","ci","dsxmut_GH"
"43","Arl4","dsxmut_GH"
"44","CG31998","dsxmut_GH"
"45","hang","dsxmut_GH"
"46","CG6891","dsxmut_GH"
"47","eys","frumut_GH"
"48","CG31898","frumut_GH"
"49","lncRNA:CR43241","frumut_GH"
"50","CG42748","frumut_GH"
"51","lncRNA:CR43242","frumut_GH"
"52","lncRNA:CR44043","frumut_GH"
"53","stw","frumut_GH"
"54","sand","frumut_GH"
"55","CG43308","frumut_GH"
"56","Eglp4","frumut_GH"
"57","mthl8","frumut_GH"
"58","CG13315","frumut_GH"
"59",NA,"frumut_GH"
"60","TwdlV","frumut_GH"
"61","CG7352","frumut_GH"
"62","asRNA:CR45600","frumut_GH"
"63","alpha-Man-IIb","frumut_GH"
"64","CG6142","frumut_GH"
"65","lncRNA:CR45570","frumut_GH"
"66","ci","frumut_GH"
"67","Arl4","frumut_GH"
"68","hang","frumut_GH"
