"","gene_name","comparison"
"1","CR11023","Or47bmut_GH"
"2","CG18284","Or47bmut_GH"
"3","CG31760","Or47bmut_GH"
"4","lncRNA:CR44188","Or47bmut_GH"
"5","Ir41a","Or47bmut_GH"
"6","psq","Or47bmut_GH"
"7",NA,"Or47bmut_GH"
"8","lncRNA:CR46122","Or47bmut_GH"
"9","OdsH","Or47bmut_GH"
"10","Su(Ste):CR42428","Or47bmut_GH"
"11",NA,"Or67dmut_GH"
"12","RpL38","Or67dmut_GH"
"13","Ir41a","Or67dmut_GH"
"14","d4","Or67dmut_GH"
"15","inv","Or67dmut_GH"
"16","mthl8","Or67dmut_GH"
"17","Pgant6","Or67dmut_GH"
"18","DIP-delta","Or67dmut_GH"
"19","bru3","Or67dmut_GH"
"20","CR43972","Or67dmut_GH"
"21","Adgf-A","Or67dmut_GH"
"22","Adgf-A2","Or67dmut_GH"
"23","Rab26","Or67dmut_GH"
"24","SPoCk","Or67dmut_GH"
"25","nrm","Or67dmut_GH"
"26","nAChRalpha4","Or67dmut_GH"
"27","CG43968","Or67dmut_GH"
"28","Snap25","Or67dmut_GH"
"29","ND-AGGG","Or67dmut_GH"
"30","lncRNA:CR45180","Or67dmut_GH"
"31","asRNA:CR45182","Or67dmut_GH"
"32","lncRNA:CR46250","Or67dmut_GH"
"33","Myo81F","Or67dmut_GH"
"34","lncRNA:CR46122","Or67dmut_GH"
"35","lncRNA:CR45220","Or67dmut_GH"
"36","CG34425","Or67dmut_GH"
"37","corto","Or67dmut_GH"
"38","CG43732","Or67dmut_GH"
"39","CG42613","Or67dmut_GH"
"40","CG8260","Or67dmut_GH"
"41","Su(Ste):CR42430","Or67dmut_GH"
"42","Su(Ste):CR42428","Or67dmut_GH"
"43","Su(Ste):CR42424","Or67dmut_GH"
"44","CG15403","dsxmut_GH"
"45","asRNA:CR45305","dsxmut_GH"
"46",NA,"dsxmut_GH"
"47","Ir41a","dsxmut_GH"
"48","mthl8","dsxmut_GH"
"49","bru3","dsxmut_GH"
"50","vtd","dsxmut_GH"
"51","scaRNA:MeU2-C41","dsxmut_GH"
"52","CG43732","dsxmut_GH"
"53","CG42613","dsxmut_GH"
"54","sdk","dsxmut_GH"
"55","w","dsxmut_GH"
"56","nAChRalpha3","dsxmut_GH"
"57","OdsH","dsxmut_GH"
"58","Sdic2","dsxmut_GH"
"59","lncRNA:flam","dsxmut_GH"
"60","Su(Ste):CR42412","dsxmut_GH"
"61","Gr22a","frumut_GH"
"62","asRNA:CR45305","frumut_GH"
"63","CG31760","frumut_GH"
"64","Slmap","frumut_GH"
"65","MFS17","frumut_GH"
"66","IntS3","frumut_GH"
"67","Ir41a","frumut_GH"
"68","Ugt50B3","frumut_GH"
"69","mthl8","frumut_GH"
"70","lncRNA:CR45156","frumut_GH"
"71","CG13315","frumut_GH"
"72","Nlg3","frumut_GH"
"73","Nlg1","frumut_GH"
"74","CG45080","frumut_GH"
"75","fru","frumut_GH"
"76","CG7691","frumut_GH"
"77","CG2233","frumut_GH"
"78","Sdic2","frumut_GH"
"79","Su(Ste):CR42412","frumut_GH"
